mun_mic_mes,Municipio_ID
"RurópolisItaitubaSudoeste Paraense",255
"SalinópolisSalgadoNordeste Paraense",256
SalvaterraArariMarajó,257
"Santa Bárbara do ParáBelémMetropolitana de Belém",258
"Santa Cruz do ArariArariMarajó",259
"Santa Izabel do ParáCastanhalMetropolitana de Belém",260
"Santa Luzia do ParáGuamáNordeste Paraense",261
"Santa Maria das BarreirasConceição do AraguaiaSudeste Paraense",262
"Santa Maria do ParáBragantinaNordeste Paraense",263
"Santana do AraguaiaConceição do AraguaiaSudeste Paraense",264
"SantarémSantarémBaixo Amazonas",265
"Santarém NovoBragantinaNordeste Paraense",266
"Santo Antônio do TauáCastanhalMetropolitana de Belém",267
"São Caetano de OdivelasSalgadoNordeste Paraense",268
"São Domingos do AraguaiaMarabáSudeste Paraense",269
"São Domingos do CapimGuamáNordeste Paraense",270
"São Félix do XinguSão Félix do XinguSudeste Paraense",271
"São Francisco do ParáBragantinaNordeste Paraense",272
"São Geraldo do AraguaiaRedençãoSudeste Paraense",273
"São João da PontaSalgadoNordeste Paraense",274
"São João de PirabasSalgadoNordeste Paraense",275
"São João do AraguaiaMarabáSudeste Paraense",276
"São Miguel do GuamáGuamáNordeste Paraense",277
"São Sebastião da Boa VistaFuros de BrevesMarajó",278
"SapucaiaRedençãoSudeste Paraense",279
"Senador José PorfírioAltamiraSudoeste Paraense",280
SoureArariMarajó,281
"TailândiaTomé-AçuNordeste Paraense",282
"Terra AltaSalgadoNordeste Paraense",283
"Terra SantaÓbidosBaixo Amazonas",284
"Tomé-AçuTomé-AçuNordeste Paraense",285
"TracuateuaBragantinaNordeste Paraense",286
"TrairãoItaitubaSudoeste Paraense",287
"TucumãSão Félix do XinguSudeste Paraense",288
"TucuruíTucuruíSudeste Paraense",289
"UlianópolisParagominasSudeste Paraense",290
"UruaráAltamiraSudoeste Paraense",291
"VigiaSalgadoNordeste Paraense",292
"ViseuGuamáNordeste Paraense",293
"Vitória do XinguAltamiraSudoeste Paraense",294
"XinguaraRedençãoSudeste Paraense",295
"AmapáAmapáNorte do Amapá",296
"CalçoeneOiapoqueNorte do Amapá",297
"CutiasMacapáSul do Amapá",298
"Ferreira GomesMacapáSul do Amapá",299
"ItaubalMacapáSul do Amapá",300
"Laranjal do JariMazagãoSul do Amapá",301
"MacapáMacapáSul do Amapá",302
"MazagãoMazagãoSul do Amapá",303
"OiapoqueOiapoqueNorte do Amapá",304
"Pedra Branca do AmapariMacapáSul do Amapá",305
"Porto GrandeMacapáSul do Amapá",306
"PracuúbaAmapáNorte do Amapá",307
"SantanaMacapáSul do Amapá",308
"Serra do NavioMacapáSul do Amapá",309
"TartarugalzinhoAmapáNorte do Amapá",310
"Vitória do JariMazagãoSul do Amapá",311
"AbreulândiaMiracema do TocantinsOcidental do Tocantins",312
"AguiarnópolisBico do PapagaioOcidental do Tocantins",313
"Aliança do TocantinsGurupiOcidental do Tocantins",314
"AlmasDianópolisOriental do Tocantins",315
"AlvoradaGurupiOcidental do Tocantins",316
"AnanásBico do PapagaioOcidental do Tocantins",317
"AngicoBico do PapagaioOcidental do Tocantins",318
"Aparecida do Rio NegroPorto NacionalOriental do Tocantins",319
"AragominasAraguaínaOcidental do Tocantins",320
"AraguacemaMiracema do TocantinsOcidental do Tocantins",321
"AraguaçuRio FormosoOcidental do Tocantins",322
"AraguaínaAraguaínaOcidental do Tocantins",323
"AraguanãAraguaínaOcidental do Tocantins",324
"AraguatinsBico do PapagaioOcidental do Tocantins",325
"ArapoemaAraguaínaOcidental do Tocantins",326
"ArraiasDianópolisOriental do Tocantins",327
"AugustinópolisBico do PapagaioOcidental do Tocantins",328
"Aurora do TocantinsDianópolisOriental do Tocantins",329
"Axixá do TocantinsBico do PapagaioOcidental do Tocantins",330
"BabaçulândiaAraguaínaOcidental do Tocantins",331
"Bandeirantes do TocantinsAraguaínaOcidental do Tocantins",332
"Barra do OuroJalapãoOriental do Tocantins",333
"BarrolândiaMiracema do TocantinsOcidental do Tocantins",334
"Bernardo SayãoMiracema do TocantinsOcidental do Tocantins",335
"Bom Jesus do TocantinsPorto NacionalOriental do Tocantins",336
"Brasilândia do TocantinsMiracema do TocantinsOcidental do Tocantins",337
"Brejinho de NazaréGurupiOcidental do Tocantins",338
"Buriti do TocantinsBico do PapagaioOcidental do Tocantins",339
"CachoeirinhaBico do PapagaioOcidental do Tocantins",340
"Campos LindosJalapãoOriental do Tocantins",341
"Cariri do TocantinsGurupiOcidental do Tocantins",342
"CarmolândiaAraguaínaOcidental do Tocantins",343
"Carrasco BonitoBico do PapagaioOcidental do Tocantins",344
"CasearaMiracema do TocantinsOcidental do Tocantins",345
"CentenárioJalapãoOriental do Tocantins",346
"Chapada da NatividadeDianópolisOriental do Tocantins",347
"Chapada de AreiaRio FormosoOcidental do Tocantins",348
"Colinas do TocantinsAraguaínaOcidental do Tocantins",349
"ColméiaMiracema do TocantinsOcidental do Tocantins",350
"CombinadoDianópolisOriental do Tocantins",351
