Municipio_ID,Municipio_Nome (UF),Municipio_Nome,Microrregião_ID,Microrregião,Mesorregião,UF,Municipio_Meso_Micro
2803,Passabém (MG),Passabém,275,Conceição do Mato Dentro,Metropolitana de Belo Horizonte,MG,PassabémConceição do Mato DentroMetropolitana de Belo Horizonte
2804,Passos (MG),Passos,272,Passos,Sul/Sudoeste de Minas,MG,PassosPassosSul/Sudoeste de Minas
2805,Patis (MG),Patis,302,Montes Claros,Norte de Minas,MG,PatisMontes ClarosNorte de Minas
2806,Patos de Minas (MG),Patos de Minas,282,Patos de Minas,Triângulo Mineiro/Alto Paranaíba,MG,Patos de MinasPatos de MinasTriângulo Mineiro/Alto Paranaíba
2807,Patrocínio (MG),Patrocínio,253,Patrocínio,Triângulo Mineiro/Alto Paranaíba,MG,PatrocínioPatrocínioTriângulo Mineiro/Alto Paranaíba
2808,Patrocínio do Muriaé (MG),Patrocínio do Muriaé,277,Muriaé,Zona da Mata,MG,Patrocínio do MuriaéMuriaéZona da Mata
2809,Paula Cândido (MG),Paula Cândido,273,Viçosa,Zona da Mata,MG,Paula CândidoViçosaZona da Mata
2810,Paulistas (MG),Paulistas,303,Guanhães,Vale do Rio Doce,MG,PaulistasGuanhãesVale do Rio Doce
2811,Pavão (MG),Pavão,289,Teófilo Otoni,Vale do Mucuri,MG,PavãoTeófilo OtoniVale do Mucuri
2812,Peçanha (MG),Peçanha,258,Peçanha,Vale do Rio Doce,MG,PeçanhaPeçanhaVale do Rio Doce
2813,Pedra Azul (MG),Pedra Azul,307,Pedra Azul,Jequitinhonha,MG,Pedra AzulPedra AzulJequitinhonha
2814,Pedra Bonita (MG),Pedra Bonita,255,Manhuaçu,Zona da Mata,MG,Pedra BonitaManhuaçuZona da Mata
2815,Pedra do Anta (MG),Pedra do Anta,273,Viçosa,Zona da Mata,MG,Pedra do AntaViçosaZona da Mata
2816,Pedra do Indaiá (MG),Pedra do Indaiá,286,Formiga,Oeste de Minas,MG,Pedra do IndaiáFormigaOeste de Minas
